feature,importance_mean,importance_std
text_feature,0.17128757163471678,0.02532662383046225
num_previous_claims_count,0.1216951684427946,0.006894177643497806
num_late_payments_count,0.0626845402888648,0.022967116193743642
num_annual_mileage,0.02017271554167117,0.006028427858542029
num_vehicle_age,0.017856064536066384,0.010292084821690242
num_duplicate_0,0.01645841535419921,0.0047211952872854126
num_years_with_license,0.016002375506312116,0.0046354872209242734
num_annual_income,0.013499510791772829,0.00648382506762701
num_collinear_1,0.013047101141935347,0.002846827270985682
num_age,0.012002849616678612,0.007357003621354505
num_collinear_2,0.011553196511578401,0.005303098614723476
num_irrelevant_2,0.011226462298831574,0.0031410815086239984
num_irrelevant_0,0.00979263113961686,0.002872794914864291
cat_region,0.009379084280822547,0.006480733645825277
num_duplicate_1,0.008840305367483547,0.007144232801960917
cat_profession_segment,0.00818872079724604,0.0038472622721271907
num_contract_tenure_years,0.008121839023279852,0.00473350418969732
cat_prior_fraud_flag,0.007275123972129793,0.004238644586230705
num_monthly_premium,0.007067110158360345,0.004457649065547709
num_insured_value,0.004603061486976268,0.0019018482852002732
num_irrelevant_3,0.004191094829816522,0.003680355451730788
num_collinear_0,0.004047718922783661,0.008967349125906177
num_credit_score,0.003775612733383249,0.004310662480905581
cat_home_ownership,0.0037048055555300554,0.001713212577719467
num_irrelevant_1,0.003645571087948807,0.0032114737145861913
cat_fuel_type,0.002973850032634262,0.00156427534076913
cat_coverage_level,0.001238569622814878,0.0027703867667330366
num_irrelevant_4,0.00048351046482613124,0.003728749320991053
num_household_size,0.00043348746561939767,0.005976496961449616
num_constant_0,0.0,0.0
cat_payment_frequency,-0.0003462594791889151,0.0038612019821610112
cat_vehicle_type,-0.002336318928372538,0.005298195158964538
