model,family,preprocessor,n_folds,n_errors,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std,run_id,scenario,scenario_description,seed
random_forest,ensemble_tree,standard,3,0,0.8086666666666668,0.014224392195567861,0.7068253968253968,0.01979820723768072,0.8346302546707406,0.04109073506260697,0.45222222222222225,0.03671713698190733,0.5860499311902725,0.036156603978421055,0.8715738095238095,0.004777327999184359,0.5096571000000646,0.02809186110474136,0.08462280000003375,0.0013519886390968366,20260429_110129,baseline,Dataset assurance standard.,1
dummy,baseline,standard,3,0,0.6999999999999998,1.3597399555105182e-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10029163333335116,0.0013981357922647332,0.04556926666646177,0.0005068387941011765,20260429_110129,baseline,Dataset assurance standard.,1
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,baseline,Dataset assurance standard.,1
logistic_regression,linear,standard,3,0,0.729,0.014177446878757839,0.72515873015873,0.020105071693116056,0.536089265175053,0.016983905894199985,0.7155555555555556,0.037466034000194166,0.6128575718861519,0.02384328448886708,0.7932761904761906,0.015104624541499986,0.1784439666665397,0.01672242721772126,0.05450493333319173,0.00508439485527303,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",0
ridge_classifier,linear,standard,3,0,0.726,0.004358898943540678,0.7217460317460317,0.0123174500899974,0.5323455932772383,0.004183944139235084,0.7111111111111111,0.03237511618740771,0.6087359535788918,0.014467820560595111,0.7898746031746032,0.016445009259773772,0.12135666666684604,0.002867442687032897,0.04570449999998042,0.0002859115423222287,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",0
linear_svc,svm,standard,3,0,0.7253333333333334,0.0032145502536643214,0.7203174603174604,0.010885753169673244,0.5316535475583729,0.0028493993841880337,0.7077777777777777,0.030245905752924858,0.6070613287186185,0.012859445651994454,0.7881047619047618,0.01683279314819941,0.16066023333375293,0.0038893926705118585,0.045561833333219205,0.000669969382435454,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",0
sgd_classifier,linear,standard,3,0,0.618,0.23384610323886093,0.6325396825396825,0.1009707231015919,0.5174156467500356,0.180776158089224,0.668888888888889,0.32002314731096376,0.5178298353707226,0.09211895099321876,0.770547619047619,0.026962434184302615,0.13710586666669164,0.006915459081018618,0.045559566666573424,0.0006538448924372317,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",0
mlp,neural_network,standard,3,0,0.7626666666666667,0.0028867513459481316,0.6587301587301587,0.025506583265335732,0.6887205586459936,0.05969296851806306,0.3988888888888889,0.08604477731799708,0.4979426048109777,0.05922504631886907,0.7882063492063492,0.004507273872604181,0.3909899333333063,0.03920935856644937,0.04780316666680543,0.0009536695043741542,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",0
random_forest,ensemble_tree,standard,3,0,0.737,0.004582575694955844,0.5889682539682539,0.010791608116704396,0.6966829466829466,0.01659712278879066,0.2188888888888889,0.027148426050823588,0.3324275362318841,0.030588938512831693,0.7513444444444444,0.012677075997953906,0.4888576999998501,0.027164953133237545,0.08429720000003726,0.00020869156654045276,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",0
dummy,baseline,standard,3,0,0.6999999999999998,1.3597399555105182e-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10274476666654664,0.0053822255339047165,0.04586169999978059,0.0008393192237682799,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",0
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",0
logistic_regression,linear,standard,3,0,0.726,0.0040000000000000036,0.712857142857143,0.005947617141331754,0.5340522852166668,0.0053115179178021546,0.68,0.01527525231651948,0.5982020438297134,0.0073444709467410515,0.7783841269841268,0.0029665762171235946,0.23035206666675853,0.018891346554479983,0.05583189999955115,0.01051879374217266,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",1
ridge_classifier,linear,standard,3,0,0.7233333333333333,0.0025166114784235852,0.7039682539682538,0.009092412093166318,0.5314848859237294,0.0024224836104390006,0.6555555555555556,0.025891511550513398,0.5869114182285863,0.01174484143527246,0.7741809523809525,0.0051868576289977675,0.1251302000000578,0.0008801239630629917,0.04586389999955524,0.00033294325362437995,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",1
linear_svc,svm,standard,3,0,0.7223333333333333,0.0015275252316519481,0.7029365079365079,0.007246601100738713,0.530174654520614,0.0021655008827147246,0.6544444444444445,0.024113927126900764,0.5856485071374559,0.0094823126540076,0.7746777777777777,0.005255402863649909,0.16449563333359643,0.00337000277501037,0.04582429999997354,0.00023953118819314663,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",1
sgd_classifier,linear,standard,3,0,0.628,0.17094151046483705,0.6546031746031745,0.0739914552481261,0.4762732619653562,0.13067233292445432,0.7211111111111111,0.18209684033299225,0.5482793561290634,0.05056956201697143,0.7524619047619048,0.013017664607629658,0.1326235333332685,0.011770261616538658,0.04573933333328265,0.000201675638797994,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",1
mlp,neural_network,standard,3,0,0.7553333333333333,0.016862186493255667,0.6617460317460316,0.023536931627035025,0.6392430709283644,0.04919995778915647,0.4277777777777778,0.05167562646325994,0.5111315978405981,0.041054132285679,0.7632619047619048,0.018886129116784986,0.4737347666665907,0.11976734526620346,0.04853116666648324,0.00052975136067258,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",1
random_forest,ensemble_tree,standard,3,0,0.7399999999999999,0.0017320508075688787,0.5892063492063492,0.0034366087451763957,0.7289548778312823,0.0023940420472015173,0.21222222222222223,0.0076980035891950115,0.32869626535275637,0.009515828263876812,0.7411777777777777,0.008601826499250361,0.4760112000000542,0.010302130962115158,0.08415603333317752,0.0010319617842298849,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",1
dummy,baseline,standard,3,0,0.6999999999999998,1.3597399555105182e-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10202649999973801,0.0010139343323604987,0.046258233333295116,0.0006374264215134167,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",1
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile.",1
linear_svc,svm,standard,3,0,0.8886666666666666,0.007094598884597594,0.861111111111111,0.030736835985829027,0.4682244316797724,0.018231880106382863,0.8266666666666667,0.06806859285554046,0.5971642968712259,0.02588760289821328,0.9327444444444445,0.017681234385152966,0.13117006666652742,0.004856158405652368,0.045369833332794464,0.0005278273424875111,20260429_110129,class_imbalance,Classe positive rare.,0
sgd_classifier,linear,standard,3,0,0.8946666666666667,0.017897858344878417,0.8392592592592593,0.03981567613194106,0.48500398069363587,0.05403704089873197,0.77,0.07211102550927978,0.594535026063368,0.057897714171539515,0.9241055555555556,0.022012812627038112,0.11568150000008852,0.0003823841128568506,0.04564409999996618,0.0006664282931745537,20260429_110129,class_imbalance,Classe positive rare.,0
