model,family,preprocessor,fold,seed,status,error,warnings,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,run_id,scenario,scenario_description
dummy,baseline,standard,3,1,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.1018277000002854,0.04552519999924698,20260429_110129,baseline,Dataset assurance standard.
logistic_regression,linear,standard,1,1,ok,,,0.834,0.8357142857142856,0.6810810810810811,0.84,0.7522388059701492,0.919852380952381,0.186498400000346,0.06530399999974179,20260429_110129,baseline,Dataset assurance standard.
logistic_regression,linear,standard,2,1,ok,,,0.817,0.8178571428571428,0.656,0.82,0.7288888888888889,0.900852380952381,0.16532199999983277,0.05693689999952767,20260429_110129,baseline,Dataset assurance standard.
logistic_regression,linear,standard,3,1,ok,,,0.819,0.8135714285714286,0.6648199445983379,0.8,0.7261724659606656,0.9084904761904762,0.1543431000000055,0.04698199999984354,20260429_110129,baseline,Dataset assurance standard.
ridge_classifier,linear,standard,1,1,ok,,,0.833,0.8378571428571429,0.6763925729442971,0.85,0.7533234859675036,0.9185761904761904,0.12527310000041325,0.045889400000305614,20260429_110129,baseline,Dataset assurance standard.
ridge_classifier,linear,standard,2,1,ok,,,0.813,0.8102380952380952,0.6531165311653117,0.8033333333333333,0.7204783258594918,0.8987095238095237,0.12512379999952827,0.049512399999912304,20260429_110129,baseline,Dataset assurance standard.
ridge_classifier,linear,standard,3,1,ok,,,0.825,0.8207142857142857,0.6731301939058172,0.81,0.735249621785174,0.9081904761904761,0.12556690000019444,0.04612929999984772,20260429_110129,baseline,Dataset assurance standard.
sgd_classifier,linear,standard,1,1,ok,,,0.839,0.7621428571428571,0.8423645320197044,0.57,0.679920477137177,0.9047857142857143,0.1306564000005892,0.04707779999989725,20260429_110129,baseline,Dataset assurance standard.
sgd_classifier,linear,standard,2,1,ok,,,0.801,0.7807142857142857,0.6498516320474778,0.73,0.6875981161695447,0.8828285714285715,0.1272516999997606,0.046047599999837985,20260429_110129,baseline,Dataset assurance standard.
sgd_classifier,linear,standard,3,1,ok,,,0.738,0.7852380952380953,0.5376984126984127,0.9033333333333333,0.6741293532338308,0.9040333333333332,0.1349528000000646,0.04666189999989001,20260429_110129,baseline,Dataset assurance standard.
linear_svc,svm,standard,1,1,ok,,,0.837,0.8378571428571429,0.6866485013623979,0.84,0.7556221889055472,0.9193380952380952,0.1435687000002872,0.045175299999755225,20260429_110129,baseline,Dataset assurance standard.
linear_svc,svm,standard,2,1,ok,,,0.808,0.8038095238095238,0.6467391304347826,0.7933333333333333,0.7125748502994012,0.9014857142857142,0.13902610000059212,0.045133099999475235,20260429_110129,baseline,Dataset assurance standard.
