rank,model,family,preprocessor,f1_mean,f1_std,balanced_accuracy_mean,recall_mean,precision_mean,roc_auc_mean,fit_time_sec_mean,n_errors
1,ridge_classifier,linear,standard,0.6573258587011109,0.06600138392028007,0.7974470899470899,0.7772222222222223,0.5756714063580755,0.875261044973545,0.12107892916674245,6
2,linear_svc,svm,standard,0.656007764538545,0.06572203448441288,0.7955489417989418,0.772361111111111,0.5760242396532378,0.8758494047619048,0.14572582083349062,6
3,logistic_regression,linear,standard,0.6556393023406355,0.06743295532779894,0.7976157407407407,0.7805555555555556,0.5716419590401822,0.8759616402116402,0.18546119583337864,6
4,sgd_classifier,linear,standard,0.6110940541766796,0.06388932766174472,0.7499636243386243,0.7570833333333333,0.551283999109558,0.8616346891534392,0.1257358041667279,6
5,mlp,neural_network,standard,0.5876000634814632,0.11482673962129827,0.7253472222222223,0.5251388888888889,0.6833530868440976,0.8569669973544973,0.47555658333328665,6
6,random_forest,ensemble_tree,standard,0.37636220682772054,0.18999964955853846,0.6190277777777777,0.2668055555555556,0.7740099108828978,0.8426057539682539,0.4983738249999684,6
7,dummy,baseline,standard,0.0,0.0,0.5,0.0,0.0,0.5,0.09945912916653774,6
8,hist_gradient_boosting,boosting,dense,,,,,,,,30
